IP地址,数据中心,地区,城市,网络延迟
104.16.94.71,SJC,北美洲,圣何塞,156 ms
104.16.98.34,SJC,北美洲,圣何塞,156 ms
104.17.236.47,SJC,北美洲,圣何塞,156 ms
104.19.221.36,SJC,北美洲,圣何塞,156 ms
1.1.1.250,SJC,北美洲,圣何塞,156 ms
162.159.21.193,SJC,北美洲,圣何塞,156 ms
104.19.62.129,SJC,北美洲,圣何塞,156 ms
172.64.82.30,SJC,北美洲,圣何塞,156 ms
1.1.1.94,SJC,北美洲,圣何塞,156 ms
172.64.86.13,SJC,北美洲,圣何塞,156 ms
104.18.158.96,SJC,北美洲,圣何塞,156 ms
104.19.124.174,SJC,北美洲,圣何塞,156 ms
104.16.67.167,SJC,北美洲,圣何塞,156 ms
104.18.204.14,SJC,北美洲,圣何塞,156 ms
1.1.1.189,SJC,北美洲,圣何塞,156 ms
104.17.144.155,SJC,北美洲,圣何塞,156 ms
172.64.231.173,SJC,北美洲,圣何塞,156 ms
104.16.104.7,SJC,北美洲,圣何塞,156 ms
1.0.0.202,SJC,北美洲,圣何塞,156 ms
104.17.19.112,SJC,北美洲,圣何塞,156 ms
92.243.74.150,SJC,北美洲,圣何塞,156 ms
104.18.203.92,SJC,北美洲,圣何塞,156 ms
1.1.1.152,SJC,北美洲,圣何塞,156 ms
104.17.161.105,SJC,北美洲,圣何塞,156 ms
104.18.186.228,SJC,北美洲,圣何塞,156 ms
104.16.17.52,SJC,北美洲,圣何塞,156 ms
104.17.50.197,SJC,北美洲,圣何塞,156 ms
104.19.182.58,SJC,北美洲,圣何塞,156 ms
172.66.41.154,SJC,北美洲,圣何塞,156 ms
104.19.233.69,SJC,北美洲,圣何塞,156 ms
1.1.1.223,SJC,北美洲,圣何塞,156 ms
172.64.144.224,SJC,北美洲,圣何塞,156 ms
104.18.214.176,SJC,北美洲,圣何塞,156 ms
104.17.226.113,SJC,北美洲,圣何塞,156 ms
104.19.153.139,SJC,北美洲,圣何塞,156 ms
1.1.1.167,SJC,北美洲,圣何塞,156 ms
104.18.253.148,SJC,北美洲,圣何塞,156 ms
170.114.46.55,SJC,北美洲,圣何塞,156 ms
104.16.239.86,SJC,北美洲,圣何塞,156 ms
104.16.145.8,SJC,北美洲,圣何塞,156 ms
104.17.237.221,SJC,北美洲,圣何塞,156 ms
168.100.6.20,SJC,北美洲,圣何塞,156 ms
104.17.206.59,SJC,北美洲,圣何塞,156 ms
1.0.0.226,SJC,北美洲,圣何塞,156 ms
104.19.194.142,SJC,北美洲,圣何塞,156 ms
1.1.1.179,SJC,北美洲,圣何塞,156 ms
172.67.29.253,HKG,亚太地区,香港,156 ms
185.193.31.68,SJC,北美洲,圣何塞,156 ms
104.17.126.21,SJC,北美洲,圣何塞,156 ms
172.64.159.238,SJC,北美洲,圣何塞,156 ms
173.245.49.66,SJC,北美洲,圣何塞,156 ms
108.162.195.96,SJC,北美洲,圣何塞,156 ms
104.16.245.17,SJC,北美洲,圣何塞,156 ms
104.19.205.82,SJC,北美洲,圣何塞,156 ms
1.1.1.254,SJC,北美洲,圣何塞,156 ms
104.17.194.154,SJC,北美洲,圣何塞,156 ms
104.19.164.125,SJC,北美洲,圣何塞,156 ms
162.159.23.208,SJC,北美洲,圣何塞,156 ms
167.68.42.244,SJC,北美洲,圣何塞,157 ms
104.17.97.62,SJC,北美洲,圣何塞,157 ms
104.18.188.47,SJC,北美洲,圣何塞,157 ms
104.19.178.149,SJC,北美洲,圣何塞,157 ms
198.41.195.151,SJC,北美洲,圣何塞,157 ms
104.16.231.180,SJC,北美洲,圣何塞,157 ms
1.1.1.197,SJC,北美洲,圣何塞,157 ms
172.64.92.22,SJC,北美洲,圣何塞,157 ms
104.16.72.55,SJC,北美洲,圣何塞,157 ms
1.0.0.220,SJC,北美洲,圣何塞,157 ms
104.19.56.178,SJC,北美洲,圣何塞,157 ms
104.17.24.156,SJC,北美洲,圣何塞,157 ms
104.16.187.68,SJC,北美洲,圣何塞,157 ms
1.1.1.223,SJC,北美洲,圣何塞,157 ms
45.95.241.219,SJC,北美洲,圣何塞,157 ms
1.0.0.50,SJC,北美洲,圣何塞,157 ms
172.64.152.179,SJC,北美洲,圣何塞,157 ms
104.18.183.185,SJC,北美洲,圣何塞,157 ms
162.159.207.240,SJC,北美洲,圣何塞,157 ms
1.1.1.231,SJC,北美洲,圣何塞,157 ms
104.18.228.67,SJC,北美洲,圣何塞,157 ms
190.93.247.217,SJC,北美洲,圣何塞,157 ms
104.18.241.223,SJC,北美洲,圣何塞,157 ms
104.17.37.32,SJC,北美洲,圣何塞,157 ms
1.1.1.13,SJC,北美洲,圣何塞,157 ms
198.41.200.26,SJC,北美洲,圣何塞,157 ms
1.0.0.155,SJC,北美洲,圣何塞,157 ms
1.1.1.22,SJC,北美洲,圣何塞,157 ms
104.17.235.4,SJC,北美洲,圣何塞,157 ms
104.18.57.205,SJC,北美洲,圣何塞,157 ms
1.1.1.24,SJC,北美洲,圣何塞,157 ms
1.0.0.212,SJC,北美洲,圣何塞,157 ms
104.17.187.123,SJC,北美洲,圣何塞,157 ms
104.17.47.50,SJC,北美洲,圣何塞,157 ms
104.16.196.118,SJC,北美洲,圣何塞,157 ms
172.66.1.149,SJC,北美洲,圣何塞,157 ms
104.17.83.116,SJC,北美洲,圣何塞,157 ms
104.17.5.84,SJC,北美洲,圣何塞,157 ms
1.0.0.3,SJC,北美洲,圣何塞,157 ms
104.18.220.214,SJC,北美洲,圣何塞,157 ms
162.159.36.163,SJC,北美洲,圣何塞,157 ms
104.18.237.107,SJC,北美洲,圣何塞,157 ms
104.17.63.89,SJC,北美洲,圣何塞,157 ms
104.18.17.63,HKG,亚太地区,香港,157 ms
45.159.218.147,SJC,北美洲,圣何塞,157 ms
1.0.0.188,SJC,北美洲,圣何塞,157 ms
1.1.1.11,SJC,北美洲,圣何塞,157 ms
104.17.90.151,SJC,北美洲,圣何塞,157 ms
77.232.140.38,SJC,北美洲,圣何塞,157 ms
1.1.1.190,SJC,北美洲,圣何塞,157 ms
104.18.209.105,SJC,北美洲,圣何塞,157 ms
172.64.158.106,SJC,北美洲,圣何塞,157 ms
1.1.1.230,SJC,北美洲,圣何塞,157 ms
1.1.1.170,SJC,北美洲,圣何塞,157 ms
104.17.205.34,SJC,北美洲,圣何塞,157 ms
1.0.0.73,SJC,北美洲,圣何塞,157 ms
104.19.208.165,SJC,北美洲,圣何塞,157 ms
172.64.89.21,SJC,北美洲,圣何塞,157 ms
185.162.228.68,SJC,北美洲,圣何塞,157 ms
1.1.1.143,SJC,北美洲,圣何塞,157 ms
1.1.1.18,SJC,北美洲,圣何塞,157 ms
172.64.111.212,SJC,北美洲,圣何塞,157 ms
172.83.72.96,SJC,北美洲,圣何塞,158 ms
1.0.0.208,SJC,北美洲,圣何塞,158 ms
104.19.101.146,SJC,北美洲,圣何塞,158 ms
104.18.232.252,SJC,北美洲,圣何塞,158 ms
104.18.48.219,SJC,北美洲,圣何塞,158 ms
162.159.19.64,SJC,北美洲,圣何塞,158 ms
1.1.1.205,SJC,北美洲,圣何塞,158 ms
104.17.34.239,SJC,北美洲,圣何塞,158 ms
23.227.39.10,SJC,北美洲,圣何塞,158 ms
1.1.1.31,SJC,北美洲,圣何塞,158 ms
46.254.93.180,SJC,北美洲,圣何塞,158 ms
104.18.25.192,HKG,亚太地区,香港,158 ms
104.18.240.178,SJC,北美洲,圣何塞,158 ms
104.18.245.106,SJC,北美洲,圣何塞,158 ms
104.18.97.26,SJC,北美洲,圣何塞,158 ms
172.64.98.75,SJC,北美洲,圣何塞,158 ms
104.16.112.13,LAX,北美洲,洛杉矶,158 ms
198.41.223.219,SJC,北美洲,圣何塞,158 ms
104.16.7.27,SJC,北美洲,圣何塞,158 ms
1.1.1.82,SJC,北美洲,圣何塞,158 ms
1.1.1.61,SJC,北美洲,圣何塞,158 ms
1.0.0.137,SJC,北美洲,圣何塞,158 ms
198.41.208.220,SJC,北美洲,圣何塞,158 ms
104.18.150.177,SJC,北美洲,圣何塞,158 ms
104.18.60.215,SJC,北美洲,圣何塞,158 ms
172.66.46.11,SJC,北美洲,圣何塞,158 ms
104.17.148.103,SJC,北美洲,圣何塞,158 ms
172.64.203.129,SJC,北美洲,圣何塞,158 ms
172.64.162.168,SJC,北美洲,圣何塞,158 ms
92.60.74.195,SJC,北美洲,圣何塞,158 ms
1.1.1.123,SJC,北美洲,圣何塞,158 ms
104.18.155.14,SJC,北美洲,圣何塞,158 ms
104.17.29.215,SJC,北美洲,圣何塞,158 ms
104.18.73.236,SJC,北美洲,圣何塞,158 ms
104.17.197.71,SJC,北美洲,圣何塞,158 ms
190.93.245.66,SJC,北美洲,圣何塞,158 ms
104.16.224.217,SJC,北美洲,圣何塞,158 ms
1.0.0.175,SJC,北美洲,圣何塞,158 ms
147.185.161.247,SJC,北美洲,圣何塞,158 ms
104.16.151.80,SJC,北美洲,圣何塞,158 ms
104.18.230.168,SJC,北美洲,圣何塞,158 ms
104.18.226.86,SJC,北美洲,圣何塞,158 ms
104.18.8.79,SJC,北美洲,圣何塞,158 ms
104.19.240.208,LAX,北美洲,洛杉矶,158 ms
1.0.0.182,SJC,北美洲,圣何塞,158 ms
92.53.190.46,SJC,北美洲,圣何塞,158 ms
104.18.189.100,SJC,北美洲,圣何塞,158 ms
104.19.201.227,SJC,北美洲,圣何塞,158 ms
198.41.204.41,SJC,北美洲,圣何塞,158 ms
104.17.213.113,SJC,北美洲,圣何塞,158 ms
104.16.97.247,SJC,北美洲,圣何塞,158 ms
172.64.196.153,SJC,北美洲,圣何塞,158 ms
104.16.126.180,LAX,北美洲,洛杉矶,158 ms
195.245.221.22,SJC,北美洲,圣何塞,158 ms
104.16.44.146,HKG,亚太地区,香港,158 ms
104.18.144.111,SJC,北美洲,圣何塞,158 ms
1.1.1.102,SJC,北美洲,圣何塞,158 ms
172.66.40.157,SJC,北美洲,圣何塞,158 ms
104.17.254.61,SJC,北美洲,圣何塞,158 ms
104.19.209.100,SJC,北美洲,圣何塞,158 ms
104.16.227.41,SJC,北美洲,圣何塞,158 ms
104.18.166.215,SJC,北美洲,圣何塞,158 ms
104.16.210.128,HKG,亚太地区,香港,158 ms
172.64.40.206,LAX,北美洲,洛杉矶,158 ms
104.18.239.97,SJC,北美洲,圣何塞,158 ms
1.0.0.243,SJC,北美洲,圣何塞,158 ms
1.0.0.165,SJC,北美洲,圣何塞,158 ms
1.1.1.148,SJC,北美洲,圣何塞,158 ms
104.19.246.69,LAX,北美洲,洛杉矶,158 ms
104.16.172.113,SJC,北美洲,圣何塞,158 ms
172.64.33.172,SJC,北美洲,圣何塞,158 ms
104.19.109.253,SJC,北美洲,圣何塞,158 ms
1.1.1.48,SJC,北美洲,圣何塞,158 ms
1.1.1.215,SJC,北美洲,圣何塞,158 ms
1.1.1.169,SJC,北美洲,圣何塞,158 ms
104.18.124.113,LAX,北美洲,洛杉矶,158 ms
162.159.18.233,SJC,北美洲,圣何塞,159 ms
104.17.66.216,HKG,亚太地区,香港,159 ms
104.17.109.252,SJC,北美洲,圣何塞,159 ms
104.17.76.228,HKG,亚太地区,香港,159 ms
162.159.49.172,SJC,北美洲,圣何塞,159 ms
162.159.48.203,SJC,北美洲,圣何塞,159 ms
104.16.91.146,SJC,北美洲,圣何塞,159 ms
104.18.179.71,SJC,北美洲,圣何塞,159 ms
1.1.1.90,SJC,北美洲,圣何塞,159 ms
1.1.1.132,SJC,北美洲,圣何塞,159 ms
1.1.1.102,SJC,北美洲,圣何塞,159 ms
1.1.1.149,SJC,北美洲,圣何塞,159 ms
1.0.0.133,SJC,北美洲,圣何塞,159 ms
104.19.203.142,SJC,北美洲,圣何塞,159 ms
1.1.1.21,SJC,北美洲,圣何塞,159 ms
104.18.114.153,LAX,北美洲,洛杉矶,159 ms
104.17.239.240,SJC,北美洲,圣何塞,159 ms
104.19.198.179,SJC,北美洲,圣何塞,159 ms
1.0.0.165,SJC,北美洲,圣何塞,159 ms
104.18.127.254,LAX,北美洲,洛杉矶,159 ms
104.17.223.169,SJC,北美洲,圣何塞,159 ms
1.0.0.243,SJC,北美洲,圣何塞,159 ms
104.18.129.6,SJC,北美洲,圣何塞,159 ms
1.1.1.248,SJC,北美洲,圣何塞,159 ms
1.0.0.160,SJC,北美洲,圣何塞,159 ms
172.64.133.38,SJC,北美洲,圣何塞,159 ms
104.16.254.219,SJC,北美洲,圣何塞,159 ms
104.19.191.213,SJC,北美洲,圣何塞,159 ms
1.1.1.154,SJC,北美洲,圣何塞,159 ms
1.0.0.42,SJC,北美洲,圣何塞,159 ms
104.19.166.99,SJC,北美洲,圣何塞,159 ms
108.162.194.147,SJC,北美洲,圣何塞,159 ms
104.19.222.48,SJC,北美洲,圣何塞,159 ms
94.242.231.102,SJC,北美洲,圣何塞,159 ms
172.64.151.190,SJC,北美洲,圣何塞,159 ms
104.18.3.87,SJC,北美洲,圣何塞,159 ms
104.16.149.228,SJC,北美洲,圣何塞,159 ms
104.17.172.28,SJC,北美洲,圣何塞,159 ms
104.16.124.93,LAX,北美洲,洛杉矶,159 ms
104.18.191.133,SJC,北美洲,圣何塞,159 ms
104.17.202.52,SJC,北美洲,圣何塞,159 ms
104.18.112.142,LAX,北美洲,洛杉矶,159 ms
104.17.123.89,SJC,北美洲,圣何塞,159 ms
1.0.0.102,SJC,北美洲,圣何塞,159 ms
104.18.177.218,SJC,北美洲,圣何塞,159 ms
102.177.176.219,SJC,北美洲,圣何塞,159 ms
104.18.51.36,SJC,北美洲,圣何塞,159 ms
162.159.60.63,SJC,北美洲,圣何塞,159 ms
172.64.136.3,SJC,北美洲,圣何塞,159 ms
104.16.89.80,SJC,北美洲,圣何塞,159 ms
104.19.232.58,SJC,北美洲,圣何塞,159 ms
1.1.1.240,SJC,北美洲,圣何塞,159 ms
104.18.68.237,SJC,北美洲,圣何塞,159 ms
69.48.218.27,SJC,北美洲,圣何塞,159 ms
1.1.1.229,SJC,北美洲,圣何塞,159 ms
104.18.141.28,SJC,北美洲,圣何塞,159 ms
104.16.105.135,SJC,北美洲,圣何塞,159 ms
173.245.58.182,SJC,北美洲,圣何塞,159 ms
104.19.176.55,SJC,北美洲,圣何塞,159 ms
1.1.1.76,SJC,北美洲,圣何塞,159 ms
1.0.0.135,SJC,北美洲,圣何塞,159 ms
104.18.145.66,SJC,北美洲,圣何塞,159 ms
104.17.185.146,SJC,北美洲,圣何塞,159 ms
104.17.13.230,SJC,北美洲,圣何塞,159 ms
5.10.245.98,SJC,北美洲,圣何塞,159 ms
154.197.64.137,SJC,北美洲,圣何塞,159 ms
1.0.0.199,SJC,北美洲,圣何塞,159 ms
